FID,ID_ROTA_CICLOVIARIA,ID_TRECHO,NOME_LOGRAD,ANO_MES_IMPLANTACAO,TIPO_ROTA_CICLOVIARIA,POSICIONAMENTO,EXTENSAO_CICLOVIA,SITUACAO_ROTA,SENTIDO_CIRCULACAO,LARGURA_MIN,TIPO_SEGREGADOR,GEOMETRIA
ROTA_CICLOVIARIA.16714,16714,6372,AVE DO CANAL,JAN/12,CICLOVIA,CENTRAL,10.91867643,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((601650.315724794 7790876.58064945, 601644.370471058 7790867.42251356))"
ROTA_CICLOVIARIA.16715,16715,6471,AVE OLINTO MEIRELES,FEV/16,CICLOVIA,CENTRAL,78.09299381,IMPLANTADA,UNIDIRECIONAL,1.4,SOBRE CANTEIRO,"MULTILINESTRING ((603311.985283941 7790944.58680699, 603338.99042401 7790871.31172192))"
ROTA_CICLOVIARIA.16716,16716,1872,AVE OLINTO MEIRELES,FEV/16,CICLOVIA,CENTRAL,90.18362875,IMPLANTADA,UNIDIRECIONAL,1.4,SOBRE CANTEIRO,"MULTILINESTRING ((603507.931281947 7790376.04253253, 603530.351732587 7790288.69031282))"
ROTA_CICLOVIARIA.16717,16717,19882,AVE TERESA CRISTINA,DEZ/13,CICLOVIA,DIREITA,69.09776124,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE CALÇADA,"MULTILINESTRING ((607853.16139215 7797017.36071148, 607823.35266502 7796955.02340006))"
ROTA_CICLOVIARIA.16718,16718,29218,AVE TERESA CRISTINA,DEZ/13,CICLOVIA,DIREITA,124.7911638,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE CALÇADA,"MULTILINESTRING ((608718.826618029 7797276.35799333, 608706.482589118 7797293.32453984, 608702.755467496 7797298.9234002, 608697.519356368 7797304.68222801, 608689.487904024 7797313.3004738, 608682.116119223 7797319.67917543, 608674.859776243 7797326.17785264, 608668.032217165 7797331.23682291, 608660.866578473 7797336.20581148, 608651.721937149 7797343.23438084, 608645.982829518 7797347.10359327, 608631.610322911 7797355.60186347, 608626.357720094 7797357.71143408))"
ROTA_CICLOVIARIA.16719,16719,27945,AVE TERESA CRISTINA,09/21,CVIA+CFAIX,DIREITA,124.4340587,IMPLANTADA,BIDIRECIONAL+UNIDIRECIONAL,2.5,PASSEIO,"MULTILINESTRING ((606119.538595676 7793239.31972076, 606111.861714638 7793219.45376442, 606102.362502009 7793188.49006699, 606091.626412735 7793165.35477611, 606074.689448551 7793143.87914741, 606060.63852987 7793132.80140225))"
ROTA_CICLOVIARIA.16720,16720,27944,AVE TERESA CRISTINA,09/21,CVIA+CFAIX,DIREITA,250.39441241,IMPLANTADA,BIDIRECIONAL+UNIDIRECIONAL,2.5,PASSEIO,"MULTILINESTRING ((606291.860249774 7793461.86442243, 606246.046338865 7793437.37940629, 606220.311058817 7793422.99233473, 606187.162764748 7793395.9378416, 606171.009155773 7793374.56219255, 606150.509986853 7793332.6807174, 606132.484571222 7793283.10080925))"
ROTA_CICLOVIARIA.16743,16743,45548,RUA DESEMBARGADOR MELLO JUNIOR,NOV/20,CICLOFAIXA,LATERAL,120.98171311,IMPLANTADA,BIDIRECIONAL,2.4,TACHAO,"MULTILINESTRING ((610815.577199994 7796161.95079972, 610805.756299994 7796177.36779973, 610798.574199995 7796181.67689973, 610738.659499994 7796197.50379973, 610725.754699995 7796196.06409973, 610708.792899994 7796186.70599973))"
ROTA_CICLOVIARIA.16744,16744,40021,RUA OTAIR ANTONIO DO NASCIMENTO,FEV/23,ZONA 30,ZONA 30,32.92833279,IMPLANTADA,,,,"MULTILINESTRING ((606813.312999995 7808565.22319973, 606816.702099995 7808561.98379973, 606817.971899995 7808560.40419973, 606819.711799995 7808557.85469973, 606821.459899995 7808554.36529973, 606823.142099995 7808549.55629973, 606823.941999995 7808544.16739973, 606823.941999995 7808539.57829973, 606822.498899995 7808535.74899973))"
ROTA_CICLOVIARIA.16745,16745,, ,FEV/23,ZONA 30,ZONA 30,69.97404301,IMPLANTADA,,,,"MULTILINESTRING ((607001.739799995 7808462.71349973, 606936.193199994 7808487.20859973))"
ROTA_CICLOVIARIA.16746,16746,40029,RUA PEDRA DA VARZEA,FEV/23,ZONA 30,ZONA 30,69.18770991,IMPLANTADA,,,,"MULTILINESTRING ((606936.193199994 7808487.20859973, 606872.598599995 7808514.46049973))"
ROTA_CICLOVIARIA.16747,16747,, ,FEV/23,ZONA 30,ZONA 30,45.3126737,IMPLANTADA,,,,"MULTILINESTRING ((607093.084199995 7808403.09319973, 607095.236399995 7808409.21189973, 607089.414799995 7808424.23889973, 607070.193699995 7808436.33639973))"
ROTA_CICLOVIARIA.16748,16748,, ,FEV/23,ZONA 30,ZONA 30,73.35998793,IMPLANTADA,,,,"MULTILINESTRING ((607070.193699995 7808436.33639973, 607001.739799995 7808462.71349973))"
ROTA_CICLOVIARIA.16749,16749,35366,RUA NICOLA COSTA,OUT/23,CICLOVIA,CENTRAL,63.09433102,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE A CALÇADA,"MULTILINESTRING ((605511.737412625 7799606.71365619, 605516.579743796 7799631.30398028, 605518.072254956 7799669.3064482))"
ROTA_CICLOVIARIA.16750,16750,35366,RUA NICOLA COSTA,OUT/23,CICLOVIA,CENTRAL,136.4789809,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE A CALÇADA,"MULTILINESTRING ((605518.072254956 7799669.3064482, 605508.383342725 7799722.57589182, 605498.323362235 7799752.3799862, 605477.832334456 7799798.95075897))"
ROTA_CICLOVIARIA.16751,16751,35366,RUA NICOLA COSTA,OUT/23,CICLOVIA,CENTRAL,78.5586465,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE A CALÇADA,"MULTILINESTRING ((605494.975500546 7799529.96406829, 605511.737412625 7799606.71365619))"
ROTA_CICLOVIARIA.16752,16752,10859,RUA INGA,FEV/19,ZONA 30,ZONA 30,95.08261165,IMPLANTADA,UNIDIRECIONAL,,,"MULTILINESTRING ((610517.233299995 7800446.11179973, 610422.702399995 7800435.88379973))"
ROTA_CICLOVIARIA.16753,16753,35366,RUA NICOLA COSTA,OUT/23,CICLOVIA,CENTRAL,22.86612389,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE A CALÇADA,"MULTILINESTRING ((605390.961956526 7800254.52047977, 605391.135123356 7800277.38594794))"
ROTA_CICLOVIARIA.16754,16754,45790,VDP TRES MIL DUZENTOS E QUARENTA E CINCO,,ZONA 30,ZONA 30,139.90575894,IMPLANTADA,BIDIRECIONAL,,,"MULTILINESTRING ((612159.714799994 7796254.27229973, 612042.594499993 7796285.19969973, 612024.560899995 7796290.40869973))"
ROTA_CICLOVIARIA.16755,16755,35366,RUA NICOLA COSTA,OUT/23,CICLOVIA,CENTRAL,164.48942827,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE A CALÇADA,"MULTILINESTRING ((605477.832334456 7799798.95075897, 605448.031698636 7799850.36057396, 605423.813529016 7799896.93134725, 605406.208562785 7799946.4715311))"
ROTA_CICLOVIARIA.16756,16756,35366,RUA NICOLA COSTA,OUT/23,CICLOVIA,CENTRAL,114.28569289,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE A CALÇADA,"MULTILINESTRING ((605406.208562785 7799946.4715311, 605400.452934745 7799964.5179552, 605393.476916666 7799993.73216607, 605391.563873396 7800015.31788818, 605389.551882495 7800058.9092489))"
ROTA_CICLOVIARIA.16757,16757,6365,AVE DO CANAL,JAN/12,CICLOVIA,CENTRAL,59.28102819,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((601588.315221533 7790774.46143552, 601558.36631505 7790723.3018489))"
ROTA_CICLOVIARIA.16758,16758,6464,AVE AFONSO VAZ DE MELO,JAN/12,CICLOVIA,ESQUERDA,74.62926828,IMPLANTADA,BIDIRECIONAL,2.4,PRISMA DE CONCRETO,"MULTILINESTRING ((602304.837861631 7790987.10815189, 602272.613102123 7790971.28137339, 602237.848622571 7790954.21484723))"
ROTA_CICLOVIARIA.16759,16759,6368,RUA PASTOR FRANCISCO PESSOA,JAN/12,CICLOVIA,DIREITO,72.7882572,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE CALÇADA,"MULTILINESTRING ((601650.315724794 7790876.58064945, 601700.005182522 7790823.39147595))"
ROTA_CICLOVIARIA.16760,16760,6465,AVE AFONSO VAZ DE MELO,JAN/12,CICLOVIA,ESQUERDA,75.38866723,IMPLANTADA,BIDIRECIONAL,2.4,PRISMA DE CONCRETO,"MULTILINESTRING ((602373.171173313 7791018.95167024, 602304.837861631 7790987.10815189))"
ROTA_CICLOVIARIA.16761,16761,35366,RUA NICOLA COSTA,OUT/23,CICLOVIA,CENTRAL,96.80689176,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE A CALÇADA,"MULTILINESTRING ((605472.035417456 7799386.35253451, 605485.954491355 7799482.15354534))"
ROTA_CICLOVIARIA.16762,16762,35366,RUA NICOLA COSTA,OUT/23,CICLOVIA,CENTRAL,48.65413355,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE A CALÇADA,"MULTILINESTRING ((605485.954491355 7799482.15354534, 605494.975500546 7799529.96406829))"
ROTA_CICLOVIARIA.16763,16763,6463,AVE AFONSO VAZ DE MELO,JAN/12,CICLOVIA,DIREITA,76.66317119,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE CALÇADA,"MULTILINESTRING ((602237.848622571 7790954.21484723, 602203.686089653 7790937.49824985, 602171.370625857 7790916.33255806))"
ROTA_CICLOVIARIA.16764,16764,6462,AVE AFONSO VAZ DE MELO,JAN/12,CICLOVIA,DIREITA,80.97167837,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE CALÇADA,"MULTILINESTRING ((602171.370625857 7790916.33255806, 602107.696216203 7790866.31273945))"
ROTA_CICLOVIARIA.16765,16765,6902,AVE WALDYR SOEIRO EMRICH,JUN/15,CICLOVIA,CENTRAL,145.0751115,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE O CANTEIRO,"MULTILINESTRING ((601182.528977885 7788897.46349301, 601138.08387713 7788891.96461229, 601101.323903258 7788882.37656391, 601042.564016804 7788861.67077851))"
ROTA_CICLOVIARIA.16766,16766,622,AVE WALDYR SOEIRO EMRICH,JUN/15,CICLOVIA,CENTRAL,83.72728585,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE O CANTEIRO,"MULTILINESTRING ((601266.240789177 7788895.85382065, 601182.528977885 7788897.46349301))"
ROTA_CICLOVIARIA.16767,16767,3603,AVE WALDYR SOEIRO EMRICH,JUN/15,CICLOVIA,CENTRAL,69.82613137,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE O CANTEIRO,"MULTILINESTRING ((601042.564016804 7788861.67077851, 600980.654217831 7788829.37735174))"
ROTA_CICLOVIARIA.16768,16768,23404,AVE AMERICO VESPUCIO,SET/11,CICLOVIA,DIREITA,104.8725744,IMPLANTADA,BIDIRECIONAL,2.5,PRISMA DE CONCRETO,"MULTILINESTRING ((609032.325372317 7800079.61739801, 608957.337664289 7800006.30232108))"
ROTA_CICLOVIARIA.16769,16769,2098,RUA PASTOR FRANCISCO PESSOA,JAN/12,CICLOVIA,DIREITO,244.59962695,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE CALÇADA,"MULTILINESTRING ((601700.005182522 7790823.39147595, 601862.893590744 7790640.91861777))"
ROTA_CICLOVIARIA.16770,16770,41,AVE DO CANAL,JAN/12,CICLOVIA,CENTRAL,57.99161382,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((601618.429044903 7790824.02134774, 601604.897614412 7790801.75587981, 601588.315221533 7790774.46143552))"
ROTA_CICLOVIARIA.16771,16771,19385,AVE AMERICO VESPUCIO,SET/11,CICLOVIA,DIREITA,80.74190416,IMPLANTADA,BIDIRECIONAL,2.5,PRISMA DE CONCRETO,"MULTILINESTRING ((609386.8884312 7800535.644575, 609327.031847455 7800481.455605))"
ROTA_CICLOVIARIA.16772,16772,6369,AVE DO CANAL,JAN/12,CICLOVIA,CENTRAL,50.56301796,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((601644.370471058 7790867.42251356, 601618.429044903 7790824.02134774))"
ROTA_CICLOVIARIA.16773,16773,4366,RUA ERIDANO,FEV/16,CALCADA CP,DIREITA,79.82680085,IMPLANTADA,BIDIRECIONAL,3,SOBRE CALÇADA,"MULTILINESTRING ((603965.806524013 7788661.96142877, 603889.680889472 7788637.93631901))"
ROTA_CICLOVIARIA.16774,16774,64156,AVE ELISEU RESENDE,ABR/14,CICLOVIA,DIREITA,146.06533926,IMPLANTADA,BIDIRECIONAL,2.4,MEIO FIO DUPLO,"MULTILINESTRING ((605465.816305737 7791870.95824677, 605431.299201514 7791875.71727809, 605320.796642104 7791888.34470781))"
ROTA_CICLOVIARIA.16775,16775,45844,AVE DOS ANDRADAS,JUL/20,CALCADA CP,DIREITA,21.84437991,IMPLANTADA,BIDIRECIONAL,4,SEM SEGREGAÇÃO,"MULTILINESTRING ((611446.716828022 7797021.89978756, 611458.681548093 7797003.62350765))"
ROTA_CICLOVIARIA.16776,16776,45138,PCA RIO BRANCO,MAR/14,CICLOVIA,AMBOS,147.18787037,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((610797.958536348 7797485.72537721, 610803.969756839 7797502.9518708, 610809.675881091 7797517.55889759, 610823.644341329 7797534.07553567, 610835.716257378 7797544.23346805, 610847.144997573 7797550.58217579, 610863.653177854 7797555.66114199, 610880.169603979 7797555.02127223, 610908.675487709 7797549.81233248))"
ROTA_CICLOVIARIA.16777,16777,64157,AVE ELISEU RESENDE,ABR/14,CICLOVIA,DIREITA,53.01433517,IMPLANTADA,BIDIRECIONAL,2.4,MEIO FIO DUPLO,"MULTILINESTRING ((605320.796642104 7791888.34470781, 605268.287105627 7791895.64322222))"
ROTA_CICLOVIARIA.16778,16778,7607,AVE COUNTRY CLUB DE BELO HORIZONTE,ABR/13,CICLOVIA,DIREITA,203.79608848,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE CALÇADA,"MULTILINESTRING ((616273.644424462 7796362.55399549, 616289.179595116 7796380.37036902, 616325.321130664 7796441.41794296, 616338.011485036 7796452.4157044, 616352.697333728 7796457.50466855, 616372.141034578 7796458.62444063, 616427.544862402 7796443.60749728))"
ROTA_CICLOVIARIA.16779,16779,64159,AVE ELISEU RESENDE,ABR/14,CICLOVIA,DIREITA,116.75704405,IMPLANTADA,BIDIRECIONAL,2.4,MEIO FIO DUPLO,"MULTILINESTRING ((605216.107402922 7791988.34435317, 605211.910268176 7792011.08972342, 605178.679515663 7792065.59862828, 605156.654865548 7792085.65454597))"
ROTA_CICLOVIARIA.16780,16780,64158,AVE ELISEU RESENDE,ABR/14,CICLOVIA,DIREITA,106.37772819,IMPLANTADA,BIDIRECIONAL,2.4,MEIO FIO DUPLO,"MULTILINESTRING ((605268.287105627 7791895.64322222, 605216.107402922 7791988.34435317))"
ROTA_CICLOVIARIA.16781,16781,21441,AVE JOAO XXIII,2012/07,CICLOFAIXA,CENTRAL,26.08739474,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((604415.576101137 7799405.5945934, 604440.544517665 7799398.03613189))"
ROTA_CICLOVIARIA.16782,16782,21440,AVE JOAO XXIII,2012/07,CICLOFAIXA,CENTRAL,65.17110015,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((604163.385199189 7799478.47975783, 604225.674307 7799459.31365903))"
ROTA_CICLOVIARIA.16783,16783,49298,AVE PROFESSOR CLOVIS SALGADO,2014/03,CICLOVIA,CENTRAL,53.19716559,IMPLANTADA,BIDIRECIONAL,,,"MULTILINESTRING ((603581.574917353 7802804.71271274, 603540.906413286 7802770.41969299))"
ROTA_CICLOVIARIA.16784,16784,34756,AVE PROFESSOR CLOVIS SALGADO,2014/03,CICLOVIA,CENTRAL,100.24141619,IMPLANTADA,BIDIRECIONAL,,,"MULTILINESTRING ((603345.100594634 7802346.71593667, 603314.68992087 7802319.15154732, 603266.66612369 7802284.53859269))"
ROTA_CICLOVIARIA.16785,16785,21087,AVE AMERICO VESPUCIO,SET/11,CICLOVIA,DIREITA,108.52521256,IMPLANTADA,BIDIRECIONAL,2.5,PRISMA DE CONCRETO,"MULTILINESTRING ((609104.21264289 7800160.7008937, 609079.104047008 7800128.02754426, 609032.325372317 7800079.61739801))"
ROTA_CICLOVIARIA.16786,16786,7404,AVE DOS ANDRADAS,JUL/18,CICLOFAIXA,DIREITA,157.37311061,IMPLANTADA,BIDIRECIONAL,3,SEM SEGREGAÇÃO,"MULTILINESTRING ((613602.213510365 7797017.90060158, 613658.730527168 7797043.59537149, 613715.70106541 7797076.36870057, 613741.353887015 7797091.06570904))"
ROTA_CICLOVIARIA.16787,16787,43462,AVE SANTOS DUMONT,MAR/14,CICLOVIA,AMBOS,141.30909566,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((611451.903464084 7797404.41192832, 611315.377020076 7797440.86450851))"
ROTA_CICLOVIARIA.16788,16788,25260,AVE AMERICO VESPUCIO,SET/11,CICLOVIA,DIREITA,93.6656177,IMPLANTADA,BIDIRECIONAL,2.5,PRISMA DE CONCRETO,"MULTILINESTRING ((609458.973602035 7800595.45240129, 609386.8884312 7800535.644575))"
ROTA_CICLOVIARIA.16721,16721,33802,AVE TERESA CRISTINA,DEZ/13,CICLOVIA,DIREITA,64.93233088,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE CALÇADA,"MULTILINESTRING ((608357.971979948 7797361.19072587, 608294.586174846 7797347.10359327))"
ROTA_CICLOVIARIA.16722,16722,33801,AVE TERESA CRISTINA,DEZ/13,CICLOVIA,DIREITA,59.97621694,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE CALÇADA,"MULTILINESTRING ((608415.849561062 7797376.91752473, 608357.971979948 7797361.19072587))"
ROTA_CICLOVIARIA.16723,16723,29217,AVE TERESA CRISTINA,DEZ/13,CICLOVIA,DIREITA,89.60593192,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE CALÇADA,"MULTILINESTRING ((608626.357720094 7797357.71143408, 608543.470493231 7797391.7545047))"
ROTA_CICLOVIARIA.16724,16724,17606,AVE TERESA CRISTINA,DEZ/13,CICLOVIA,DIREITA,128.33786207,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE CALÇADA,"MULTILINESTRING ((607917.297569084 7797128.50808774, 607876.389935531 7797058.82227209, 607855.940241677 7797021.78980995, 607853.16139215 7797017.36071148))"
ROTA_CICLOVIARIA.16725,16725,28051,AVE TERESA CRISTINA,09/21,CVIA+CFAIX,DIREITA,222.38754453,IMPLANTADA,BIDIRECIONAL+UNIDIRECIONAL,2.5,PASSEIO,"MULTILINESTRING ((605981.602112294 7794173.34960168, 605961.474006367 7794122.07003949, 605948.379605626 7794075.82945163, 605950.13597046 7794037.8771767, 605964.096184853 7794000.80472269, 605989.823219057 7793968.07138547))"
ROTA_CICLOVIARIA.16726,16726,30123,AVE TERESA CRISTINA,09/21,CVIA+CFAIX,DIREITA,45.6550325,IMPLANTADA,BIDIRECIONAL+UNIDIRECIONAL,2.5,PASSEIO,"MULTILINESTRING ((606132.484571222 7793283.10080925, 606119.538595676 7793239.31972076))"
ROTA_CICLOVIARIA.16727,16727,33809,AVE TERESA CRISTINA,JUL/21,CICLOFAIXA,DIREITA,81.29037934,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((606396.236146872 7796005.86659816, 606395.947542321 7795969.38402408, 606402.321579962 7795925.0330516))"
ROTA_CICLOVIARIA.16728,16728,30476,AVE TERESA CRISTINA,09/21,CVIA+CFAIX,DIREITA,40.81272271,IMPLANTADA,BIDIRECIONAL+UNIDIRECIONAL,2.5,PASSEIO,"MULTILINESTRING ((606401.167161762 7793722.65134001, 606428.493889759 7793692.33751031))"
ROTA_CICLOVIARIA.16729,16729,27607,AVE TERESA CRISTINA,09/21,CVIA+CFAIX,DIREITA,295.84659879,IMPLANTADA,BIDIRECIONAL+UNIDIRECIONAL,2.5,PASSEIO,"MULTILINESTRING ((606281.940499085 7795175.15568697, 606255.215717722 7795148.3111511, 606228.136365055 7795114.44804383, 606206.540498844 7795077.22562034, 606196.117751654 7795044.93219357, 606187.962611644 7795003.51062482, 606184.078818982 7794964.51856154, 606182.132799727 7794944.55262554, 606178.776741098 7794908.52995786))"
ROTA_CICLOVIARIA.16730,16730,28095,AVE TERESA CRISTINA,09/21,CVIA+CFAIX,DIREITA,200.70602351,IMPLANTADA,BIDIRECIONAL+UNIDIRECIONAL,2.5,PASSEIO,"MULTILINESTRING ((606002.208477189 7794365.92040446, 606013.208433481 7794341.82530894, 606018.122956681 7794319.83978404, 606015.91307041 7794287.32640204, 606004.245200731 7794241.48573277, 605981.602112294 7794173.34960168))"
ROTA_CICLOVIARIA.16731,16731,29931,AVE TERESA CRISTINA,09/21,CVIA+CFAIX,DIREITA,47.02024645,IMPLANTADA,BIDIRECIONAL+UNIDIRECIONAL,2.5,PASSEIO,"MULTILINESTRING ((606331.935053053 7793486.45941619, 606291.860249774 7793461.86442243))"
ROTA_CICLOVIARIA.16732,16732,31533,AVE TERESA CRISTINA,09/21,CVIA+CFAIX,DIREITA,89.62329747,IMPLANTADA,BIDIRECIONAL+UNIDIRECIONAL,2.5,PASSEIO,"MULTILINESTRING ((606149.35556865 7794823.95717241, 606127.883390105 7794800.04204026, 606083.809352343 7794763.13955165))"
ROTA_CICLOVIARIA.16733,16733,56305,AVE PRESIDENTE TANCREDO NEVES,2012/07,CICLOFAIXA,CENTRAL,38.04553224,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((605812.248962143 7798863.99483445, 605788.204080176 7798893.47883307))"
ROTA_CICLOVIARIA.16734,16734,56304,AVE PRESIDENTE TANCREDO NEVES,2012/07,CICLOFAIXA,CENTRAL,222.13098641,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((605993.616307432 7798735.92090353, 605890.213419962 7798804.85687182, 605812.248962143 7798863.99483445))"
ROTA_CICLOVIARIA.16735,16735,56308,AVE PRESIDENTE TANCREDO NEVES,2012/07,CICLOFAIXA,CENTRAL,81.41289031,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((605652.139403448 7798971.16302068, 605600.569893222 7799034.16019779))"
ROTA_CICLOVIARIA.16736,16736,56307,AVE PRESIDENTE TANCREDO NEVES,2012/07,CICLOFAIXA,CENTRAL,62.32146259,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((605600.569893222 7799034.16019779, 605553.758235153 7799075.30182353))"
ROTA_CICLOVIARIA.16737,16737,51558,AVE TERESA CRISTINA,JUL/21,CICLOFAIXA,DIREITA,83.94783242,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((606463.258369309 7795601.82883889, 606464.924029858 7795540.41134023, 606460.289865363 7795518.38582347))"
ROTA_CICLOVIARIA.16738,16738,29493,AVE TERESA CRISTINA,JUL/21,CICLOFAIXA,DIREITA,99.81714158,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((606445.059790949 7796217.5535099, 606419.580132075 7796121.04315432))"
ROTA_CICLOVIARIA.16739,16739,17993,AVE JOAO XXIII,2012/07,CICLOFAIXA,CENTRAL,116.15596891,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((604303.85315677 7799437.37812394, 604415.576101137 7799405.5945934))"
ROTA_CICLOVIARIA.16740,16740,21325,AVE TERESA CRISTINA,JUL/21,CICLOFAIXA,DIREITA,67.51710537,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((606294.729803588 7796439.70829094, 606320.159987398 7796398.30671812, 606335.340586746 7796386.99901976))"
ROTA_CICLOVIARIA.16741,16741,, ,FEV/23,ZONA 30,ZONA 30,68.90878913,IMPLANTADA,,,,"MULTILINESTRING ((607095.759399995 7808403.62519973, 607086.372099994 7808396.93439973, 607075.264899995 7808388.37619973, 607071.834699995 7808385.03689973, 607068.709499995 7808381.94749973, 607065.543099995 7808378.62819973, 607044.582099996 7808357.74239973))"
ROTA_CICLOVIARIA.16742,16742,, ,FEV/23,ZONA 30,ZONA 30,82.66178616,IMPLANTADA,,,,"MULTILINESTRING ((607070.193699995 7808436.33639973, 607044.582099996 7808357.74239973))"
ROTA_CICLOVIARIA.16642,16642,26133,AVE SARAMENHA,2009,CICLOVIA,CENTRAL,176.94758808,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((612594.859941947 7805806.9316198, 612763.54517871 7805753.49249718))"
ROTA_CICLOVIARIA.16641,16641,26134,AVE SARAMENHA,2009,CICLOVIA,CENTRAL,145.80535883,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((612763.54517871 7805753.49249718, 612901.893954307 7805707.46186658))"
ROTA_CICLOVIARIA.16643,16643,38703,RUA FARMACEUTICO RAUL MACHADO,NOV/15,CICLOFAIXA,ESQUERDA,69.20788503,IMPLANTADA,UNIDIRECIONAL,1.3,TACHÃO,"MULTILINESTRING ((607744.481164329 7808842.21379691, 607760.634773305 7808909.51009894))"
ROTA_CICLOVIARIA.16644,16644,38702,RUA FARMACEUTICO RAUL MACHADO,NOV/15,CICLOFAIXA,ESQUERDA,69.65905332,IMPLANTADA,UNIDIRECIONAL,1.3,TACHÃO,"MULTILINESTRING ((607726.529961296 7808774.90749691, 607744.481164329 7808842.21379691))"
ROTA_CICLOVIARIA.16645,16645,38704,RUA FARMACEUTICO RAUL MACHADO,NOV/15,CICLOFAIXA,ESQUERDA,68.21793875,IMPLANTADA,UNIDIRECIONAL,1.3,TACHÃO,"MULTILINESTRING ((607760.634773305 7808909.51009894, 607779.468281676 7808975.07675304))"
ROTA_CICLOVIARIA.16646,16646,44033,AVE VILARINHO,DEZ/07,CVIA CANTE,CENTRAL,49.27241971,IMPLANTADA,BIDIRECIONAL,2,SOBRE CANTEIRO,"MULTILINESTRING ((607869.859226848 7809567.57615151, 607855.288819978 7809592.78102113, 607845.781361504 7809610.5574028))"
ROTA_CICLOVIARIA.16647,16647,24312,AVE SARAMENHA,2009,CICLOVIA,CENTRAL,10.11303222,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((612382.488222105 7805794.42416565, 612392.589381367 7805794.91406594))"
ROTA_CICLOVIARIA.16648,16648,24465,AVE SARAMENHA,2009,CICLOVIA,CENTRAL,202.62724713,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((612392.589381367 7805794.91406594, 612594.859941947 7805806.9316198))"
ROTA_CICLOVIARIA.16649,16649,40907,AVE ELIAS ANTONIO ISSA,2015/04,CICLOFAIXA,CENTRAL,46.86791485,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((606908.748353243 7809174.44617197, 606867.453165009 7809152.28068369))"
ROTA_CICLOVIARIA.16650,16650,23827,AVE SARAMENHA,2009,CICLOVIA,CENTRAL,89.93690229,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((613083.294282974 7805616.67034693, 613160.772235979 7805570.99964307))"
