FID,ID_ROTA_CICLOVIARIA,ID_TRECHO,NOME_LOGRAD,ANO_MES_IMPLANTACAO,TIPO_ROTA_CICLOVIARIA,POSICIONAMENTO,EXTENSAO_CICLOVIA,SITUACAO_ROTA,SENTIDO_CIRCULACAO,LARGURA_MIN,TIPO_SEGREGADOR,GEOMETRIA
ROTA_CICLOVIARIA.16618,16618,, ,FEV/24,CICLOVIA,CENTRAL,63.35332479,IMPLANTADA,BIDIRECIONAL,2.2,MEIO FIO,"MULTILINESTRING ((604779.447156856 7802662.29336223, 604778.028872625 7802725.63080954))"
ROTA_CICLOVIARIA.16619,16619,, ,FEV/24,CICLOVIA,CENTRAL,115.20144635,IMPLANTADA,BIDIRECIONAL,2.2,MEIO FIO,"MULTILINESTRING ((604777.830985966 7802832.54961928, 604780.123347556 7802864.81322463, 604788.360995046 7802896.36696986, 604809.759083396 7802941.827957))"
ROTA_CICLOVIARIA.16620,16620,, ,FEV/24,CICLOVIA,LATERAL,103.71622723,IMPLANTADA,BIDIRECIONAL,2.2,MEIO FIO,"MULTILINESTRING ((604944.505231486 7803487.64976215, 604965.450228016 7803528.38541127, 604979.608342666 7803547.22157723, 604988.827196596 7803556.85961543, 604994.689991886 7803564.25810949, 604996.372144125 7803575.70577935))"
ROTA_CICLOVIARIA.16621,16621,39298,RUA TAUBATE,SET/19,ZONA 30,ZONA 30,50.44373641,IMPLANTADA,BIDIRECIONAL,,,"MULTILINESTRING ((602541.265899996 7802934.03459973, 602499.788699996 7802905.32549973))"
ROTA_CICLOVIARIA.16622,16622,, ,FEV/24,CICLOVIA,LATERAL,146.80481089,IMPLANTADA,BIDIRECIONAL,2.2,MEIO FIO,"MULTILINESTRING ((604921.375492736 7803342.67849712, 604944.505231486 7803487.64976215))"
ROTA_CICLOVIARIA.16623,16623,, ,FEV/24,CICLOVIA,CENTRAL,24.70992474,IMPLANTADA,BIDIRECIONAL,2.2,MEIO FIO,"MULTILINESTRING ((604778.028872625 7802725.63080954, 604776.107583866 7802750.26592736))"
ROTA_CICLOVIARIA.16624,16624,, ,FEV/24,CICLOVIA,CENTRAL,119.16653772,IMPLANTADA,BIDIRECIONAL,2.2,MEIO FIO,"MULTILINESTRING ((604809.759083396 7802941.827957, 604854.328124075 7803017.08303607, 604867.084518426 7803046.10728199))"
ROTA_CICLOVIARIA.16579,16579,628,AVE WALDYR SOEIRO EMRICH,JUN/15,CALCADA CP,AMBOS,167.07621351,IMPLANTADA,BIDIRECIONAL,2,SOBRE CALÇADA,"MULTILINESTRING ((601873.4400256 7788912.17049944, 601867.263888222 7788910.85076807, 601844.018853151 7788906.82158819, 601830.998665009 7788904.34209289, 601804.661438326 7788900.62284993, 601794.131495161 7788898.76322845, 601770.268021768 7788895.66385932, 601756.324299064 7788894.11417475, 601729.987072382 7788892.25455327, 601722.244224589 7788891.63467945, 601707.912947202 7788890.7348626))"
ROTA_CICLOVIARIA.16580,16580,627,AVE WALDYR SOEIRO EMRICH,JUN/15,CALCADA CP,AMBOS,197.66990489,IMPLANTADA,BIDIRECIONAL,2,SOBRE CALÇADA,"MULTILINESTRING ((602136.152624869 7788971.10850278, 601943.340047696 7788927.55736749))"
ROTA_CICLOVIARIA.16581,16581,978,AVE WALDYR SOEIRO EMRICH,JUN/15,CICLOVIA,CENTRAL,91.79656827,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE O CANTEIRO,"MULTILINESTRING ((601542.49306478 7788890.62488499, 601450.733309456 7788893.22435587))"
