FID,ID_FX_ROD,GEOMETRIA
FAIXA_RODAGEM_RODOVIA.568,568,"MULTILINESTRING ((609914.012274735 7809152.24074223, 609915.150201248 7809172.83655001, 609916.387077892 7809203.32034512, 609917.772379734 7809231.78455131, 609919.520498725 7809267.38730448, 609920.864571345 7809296.93129089, 609923.123932682 7809337.55302245, 609924.781347386 7809373.33573898, 609926.562449754 7809411.20803018, 609928.516714852 7809453.05951144, 609930.990468141 7809498.68022547, 609933.505450651 7809547.50028829, 609935.995695628 7809597.95001939, 609938.865249443 7809652.03900974, 609941.578132217 7809702.63871031, 609944.653832139 7809765.87583858))"
FAIXA_RODAGEM_RODOVIA.556,556,"MULTILINESTRING ((608274.284907244 7787807.23545627, 608272.206954481 7787815.89369391, 608269.774430414 7787826.78147773, 608267.614019208 7787838.7690377, 608266.080292169 7787848.93696804, 608264.810432148 7787860.57459924, 608264.126027071 7787870.61255604, 608263.713734856 7787879.13082217, 608263.532326282 7787889.32874641, 608263.590047192 7787900.45648139, 608263.952864341 7787909.95454809, 608264.826923836 7787922.58197781, 608265.329920338 7787928.22083004, 608266.954351665 7787941.86805219, 608269.527055085 7787957.13494466, 608271.811153955 7787967.35286483, 608274.491053351 7787978.53058964, 608278.045012243 7787991.63792168, 608281.458791781 7788001.98581539, 608284.7571295 7788011.17394518, 608289.811832053 7788024.07131995, 608293.77808316 7788033.469407, 608299.566665856 7788045.93686928, 608303.821521512 7788053.9452392, 608309.857479537 7788065.00298843, 608316.718021991 7788075.76079871, 608323.430139248 7788085.75876365, 608330.26594417 7788095.34681203, 608339.361110428 7788108.03422955, 608354.129417563 7788127.71022455, 608366.605379983 7788144.62678124, 608378.223774596 7788160.21360858, 608391.16975014 7788177.59007165, 608404.536263744 7788195.8863475, 608419.032458017 7788215.52235065, 608431.120865755 7788232.21895211, 608443.135060894 7788248.35566752, 608453.137270025 7788261.80293037, 608466.099737259 7788279.50932629, 608477.577952519 7788294.93618619, 608488.371762702 7788309.23327606, 608501.408442534 7788326.76970657, 608513.290704165 7788343.09638332, 608521.173731312 7788353.93417732, 608534.573228293 7788372.24045113, 608548.483967621 7788391.80646853, 608561.702056027 7788411.10254087, 608574.862423524 7788431.64835883, 608586.653980867 7788450.92443524, 608600.457524219 7788473.66980548, 608611.127646738 7788491.18624006, 608621.319510288 7788508.2027764, 608635.576575075 7788532.03792482, 608649.297659984 7788555.11322791, 608658.434055464 7788570.55008578, 608668.477493817 7788587.44664654, 608678.207590086 7788603.79331922, 608688.069619864 7788620.36994509, 608697.840945355 7788636.57664627, 608709.08003113 7788655.07288141, 608720.640704833 7788674.52892119, 608731.797332166 7788692.97516651, 608742.970451187 7788711.64136706, 608750.738036514 7788724.63872149, 608762.232743463 7788743.72483656, 608771.311418033 7788758.95173717, 608782.624716407 7788778.05784818, 608797.656890559 7788802.51287043, 608808.895976334 7788821.43901807, 608819.318723524 7788839.0554323, 608832.025569585 7788860.20112815, 608843.107984318 7788878.04749557, 608854.28110334 7788897.00363711, 608864.64612962 7788913.75022839, 608876.569620472 7788934.10608501, 608887.511855853 7788952.12241784, 608900.795911014 7788974.11794071, 608914.393308258 7788996.6233598, 608927.495954844 7789018.16897425, 608939.040136859 7789036.73519515, 608946.527363479 7789048.46280803, 608955.861659223 7789062.25000169, 608967.595495656 7789079.09657262, 608976.938037243 7789091.7639942, 608987.863780936 7789105.19126112, 609001.873470395 7789121.67790531, 609019.107284973 7789142.13374158, 609035.343352392 7789160.94991161, 609051.05993162 7789179.376161, 609069.011134653 7789199.8519932, 609078.469118061 7789210.8597526, 609079.648273795 7789212.2294738, 609084.051554649 7789217.35842982, 609098.993024513 7789234.81487661, 609112.26883383 7789250.3317182, 609128.109100723 7789268.54801033, 609140.065574952 7789282.56515717, 609143.916384238 7789287.04424547, 609164.060981854 7789310.40948954, 609191.956673107 7789342.80289596, 609218.120737058 7789373.07673381, 609242.866515791 7789401.76089523, 609264.107810698 7789426.34589102, 609284.63171715 7789450.21103334, 609310.441209797 7789480.13494242, 609342.797902815 7789517.74728653, 609365.985216975 7789544.50184072, 609386.715269535 7789568.67691995, 609391.992609885 7789574.78567653, 609396.890641397 7789580.47451859, 609419.508992301 7789606.68918267, 609453.655033531 7789646.16114826, 609486.457002141 7789684.35337435, 609511.524368801 7789713.37746658, 609538.917063552 7789745.31096661, 609578.497116173 7789791.30160534, 609612.56069896 7789830.78356891, 609642.427147 7789865.41651947, 609664.822860108 7789891.29125274, 609686.369251254 7789916.24617324, 609718.668223362 7789953.86851532, 609751.783534054 7789992.02074954, 609772.826928698 7790016.31580435, 609795.470017135 7790042.940385, 609805.150638339 7790054.30807114))"
FAIXA_RODAGEM_RODOVIA.557,557,"MULTILINESTRING ((608287.700895914 7787811.11466666, 608285.400305355 7787821.7125095, 608283.289369215 7787832.53030757, 608281.722658799 7787841.50848009, 608280.757895016 7787848.61703316, 608279.702426946 7787857.49522603, 608278.927317583 7787865.93350845, 608278.366600171 7787873.86189465, 608278.19343744 7787881.15041109, 608278.02027471 7787890.66847372, 608278.341862638 7787902.84599502, 608278.663450565 7787913.96373203, 608279.496280839 7787925.04147719, 608279.760147857 7787926.68114344, 608281.623708667 7787941.10820685, 608283.371827658 7787951.77603545, 608285.548730552 7787962.49385387, 608288.764609828 7787975.75115538, 608293.266840813 7787990.9480621, 608298.032938817 7788006.9747999))"
FAIXA_RODAGEM_RODOVIA.558,558,"MULTILINESTRING ((615660.120626593 7807996.16605788, 615655.305053524 7807996.86591543, 615649.739108624 7807997.45579536, 615640.322354438 7807998.14565494, 615624.762446252 7807998.84551249, 615616.260980782 7807998.88550435, 615593.164370909 7807998.985484, 615577.6374461 7807999.06546772, 615556.783705875 7807999.44539038, 615522.464501915 7807999.64534968, 615494.189501824 7807999.88530084, 615460.356802677 7808000.22523165, 615433.796938199 7808000.57516042, 615404.878762253 7808000.90509327, 615384.346609956 7808000.7251299, 615371.911876758 7808000.53516856))"
FAIXA_RODAGEM_RODOVIA.559,559,"MULTILINESTRING ((615362.297222308 7808000.85510344, 615360.375940587 7808000.95508309, 615350.711811072 7808001.0650607, 615342.614391974 7808001.44498337, 615336.462992129 7808001.70493046, 615330.76511372 7808002.29481039, 615319.146719107 7808003.46457229, 615300.684273728 7808006.95386206, 615284.802777614 7808010.7330928, 615266.307348858 7808015.89204272, 615258.32537158 7808019.12138539, 615249.329155452 7808023.02059172, 615241.619291036 7808027.25972886, 615235.129811575 7808031.01896367, 615229.514391609 7808034.15832467, 615218.992694287 7808040.40705276, 615211.505467667 7808044.26626722, 615203.20190246 7808048.22546134, 615192.729680204 7808052.98449266, 615184.854898902 7808056.32381295, 615179.552821019 7808058.37339576, 615172.684032721 7808060.49296433, 615166.19455326 7808062.10263668, 615158.666097417 7808063.59233346, 615152.143634579 7808064.50214827, 615146.239610063 7808064.78209129, 615140.863319582 7808064.91206483, 615134.695428049 7808064.62212385, 615127.88436066 7808064.03224392, 615122.095777964 7808063.26240062, 615117.395646716 7808062.30259598, 615114.163275752 7808061.13283408, 615111.912160259 7808060.00306404, 615109.355948527 7808058.30341))"
FAIXA_RODAGEM_RODOVIA.560,560,"MULTILINESTRING ((615063.484316708 7808033.95836537, 615062.808157476 7808033.60843659, 615060.730204713 7808031.84879476, 615054.694246689 7808026.35991201, 615050.068328038 7808022.09078098, 615047.050349026 7808018.87143627, 615043.595340266 7808014.91224215, 615036.734797812 7808006.57393939, 615027.755073373 7807995.7061515, 615019.162903617 7807984.62840634, 615007.725917578 7807970.3213185, 614999.793415365 7807960.27336374, 614994.722221123 7807953.11482084, 614991.663012889 7807947.9058811, 614989.568568438 7807943.69673786, 614987.878170358 7807939.58757427, 614987.507107364 7807937.77794261))"
FAIXA_RODAGEM_RODOVIA.561,561,"MULTILINESTRING ((614848.902710592 7806969.80497071, 614849.521148914 7806977.41342203, 614850.131341392 7806990.78070116, 614850.353979188 7807002.58829776, 614849.817999309 7807013.25612635, 614849.760278399 7807016.32550159, 614848.68831864 7807027.08331187, 614847.039149781 7807038.3110265, 614845.266293257 7807048.10903215, 614843.518174267 7807055.39754859, 614841.910234629 7807061.36633366, 614839.584906537 7807069.01477684, 614836.418502328 7807078.29288831, 614833.46649007 7807086.72117276, 614829.89603949 7807095.31942261, 614827.183156716 7807101.11824227, 614823.909556531 7807107.20700293, 614819.118720995 7807115.75526295, 614817.370602004 7807118.95461173, 614812.860125174 7807126.70303456, 614804.606035034 7807138.93054569, 614798.297964147 7807148.29863884, 614782.474188943 7807169.4443347, 614755.221673545 7807205.27704105, 614730.904678716 7807237.51048003, 614716.342517689 7807256.7965544, 614702.019486146 7807278.03223194, 614694.779634855 7807289.64986721, 614689.024035536 7807300.53765103, 614683.639499211 7807311.22547556, 614678.576550813 7807322.47318612, 614672.606559542 7807337.54011929, 614669.12681325 7807348.39790922, 614665.482150071 7807361.76518834, 614662.060124688 7807377.00208692, 614660.064630368 7807388.82967944, 614658.45669073 7807400.78724552, 614657.269289152 7807417.1039243, 614656.988930446 7807428.56159213, 614657.021913823 7807439.06945328, 614657.920710851 7807454.51630912, 614658.662836838 7807463.38450403, 614659.924451015 7807472.24270097, 614662.637333789 7807488.02948761, 614664.855465904 7807498.9272694, 614668.524866616 7807512.29454853, 614672.10356304 7807523.3123059, 614675.335934004 7807532.3504662, 614678.906384585 7807541.13867739, 614682.988077511 7807550.58675426, 614687.185212258 7807558.96504888, 614692.281144033 7807568.57309319, 614696.643195665 7807576.28152416, 614700.576463395 7807582.55024818, 614703.998488778 7807587.51923676, 614710.001463425 7807596.83734009, 614714.347023369 7807602.61616382, 614720.89422374 7807611.12443199, 614730.838711961 7807624.03180473, 614742.094289425 7807638.45886815, 614759.526004267 7807659.9744887, 614764.209643827 7807665.07345082, 614771.729853825 7807673.43174952, 614773.527447882 7807675.62130384, 614792.773248469 7807702.22588855, 614812.093261654 7807726.38097186, 614830.30008586 7807749.86619151, 614848.243043048 7807773.60136028, 614888.020995932 7807822.71136408, 614890.107194539 7807824.83093265))"
FAIXA_RODAGEM_RODOVIA.562,562,"MULTILINESTRING ((614767.623423366 7807708.64458205, 614755.543261472 7807693.68762649, 614734.145295524 7807666.64313132, 614714.421235968 7807641.51824542, 614702.926529019 7807627.41111688, 614696.948291904 7807619.27277342, 614689.964061786 7807609.75471079, 614683.614761678 7807600.47659933, 614677.446870144 7807590.90854688, 614668.887683765 7807576.86140613, 614662.323991705 7807567.27335775, 614658.184577869 7807560.46474362, 614655.183090545 7807555.50575301, 614652.635124657 7807550.28681531, 614649.097657454 7807540.63877914, 614647.135146512 7807535.67978853, 614645.791073892 7807533.68019554))"
FAIXA_RODAGEM_RODOVIA.563,563,"MULTILINESTRING ((609979.509015978 7809636.40219256, 609977.851601275 7809603.66885534, 609975.476798118 7809552.98917104, 609973.415337044 7809506.07871953, 609970.619995827 7809452.65959284, 609967.519558372 7809393.62160985, 609965.408622232 7809345.41142289, 609964.394383384 7809326.15534241))"
FAIXA_RODAGEM_RODOVIA.569,569,"MULTILINESTRING ((610119.465731215 7812923.11319206, 610119.787319143 7812899.64796833, 610120.224348891 7812882.36148695, 610120.273823956 7812880.47187157, 610120.966474877 7812853.35739065, 610123.869012069 7812798.90847357, 610126.087144185 7812754.79745224, 610128.461947342 7812708.92678908, 610132.576623646 7812608.17729635, 610133.228045345 7812567.28561973, 610132.568377802 7812553.78836706, 610131.933447791 7812509.85730909, 610130.605866859 7812471.3551461, 610128.082638505 7812424.11476174, 610125.180101313 7812365.85662002, 610122.393005941 7812308.74824426, 610119.35853524 7812248.58049123, 610116.381785449 7812192.18197099, 610113.644165142 7812137.66306815, 610110.477760933 7812077.29535583, 610107.319602567 7812015.43794672, 610104.375836154 7811955.68011026, 610100.945564926 7811887.24404022, 610098.991299828 7811845.42255286, 610097.449326945 7811814.37887172, 610094.439593777 7811756.37067912, 610091.141256058 7811690.65405554, 610087.735722364 7811624.44753169, 610086.935875467 7811608.64074912, 610082.39241526 7811518.41911347, 610080.289724965 7811468.48927654, 610077.857200897 7811420.83897562, 610075.845214889 7811385.94607797, 610073.973408234 7811361.07114119, 610071.219296239 7811330.24741527, 610068.176579694 7811303.6028387, 610062.94871441 7811260.74156299, 610056.822052098 7811218.7301143, 610049.705888471 7811174.12919269, 610043.529751093 7811134.89717825, 610037.130975919 7811095.02529406, 610030.171483333 7811050.28440094, 610025.867152611 7811019.36069537, 610022.222489432 7810985.30762677, 610019.056085222 7810953.82403516, 610016.97813246 7810926.78953796, 610015.469142954 7810903.52427353, 610014.570345925 7810886.35776773, 610014.479641638 7810884.50814421, 610013.46540279 7810864.43223061, 610010.274261047 7810799.34547883, 610007.586115807 7810742.88697079, 610004.535153417 7810681.32950064, 610001.830516488 7810629.80998728, 609999.018683583 7810572.58163595, 609995.967721193 7810510.47427772, 609993.25483842 7810457.31509812, 609991.308819166 7810417.35323224, 609991.160393969 7810415.39363111, 609987.820827029 7810348.47725175, 609984.868814771 7810290.71900827, 609984.283359826 7810278.25154599, 609980.498517294 7810205.72630829, 609976.713674762 7810133.86093628, 609973.877104324 7810076.79255238, 609972.203197932 7810044.30916428, 609969.41610256 7809986.55092081, 609967.437099929 7809947.86879444, 609965.202476125 7809902.4480397, 609962.143267891 7809838.69101726, 609958.457375491 7809765.60589353, 609955.455888167 7809702.728692, 609953.509868913 7809662.64685054, 609951.151557444 7809614.60662899, 609948.578854024 7809563.70698946, 609945.824742029 7809508.40824536, 609942.823254705 7809448.4504496, 609939.805275693 7809387.28290008, 609936.581150573 7809324.4756843, 609933.678613381 7809265.51768503, 609930.693617746 7809209.03918107, 609928.698123426 7809156.6698407, 609927.939505751 7809126.35601099, 609928.261093679 7809103.18072825, 609929.324807593 7809073.15683953, 609931.097664116 7809052.56103174, 609935.336028085 7809026.9062537, 609940.506172458 7809004.70077356, 609950.937165493 7808970.34776602, 609962.316430621 7808939.76399125, 609974.932572394 7808910.02004555, 609988.447511195 7808879.13633184, 610005.61535902 7808840.58417902, 610023.162515682 7808800.67230297, 610030.996067763 7808783.2358521, 610049.376054699 7808742.04423654, 610058.43823758 7808721.45842672, 610068.4569384 7808698.10318061, 610094.86837768 7808634.46613375, 610127.719821356 7808555.62218221, 610134.473167834 7808540.9951595))"
