FID,ID_OBRART,TIPO_OBRA_DE_ARTE,DENOMINACAO,GEOMETRIA
LOGRADOURO_OBRA_DE_ARTE.414,414,VIADUTO,VIADUTO ANGOLA,"MULTIPOLYGON (((610520.560088392 7798921.11320845, 610519.743749807 7798947.68779926, 610517.805976397 7798961.1950499, 610512.561619425 7798973.8024837, 610504.332266818 7798984.69026752, 610493.64565261 7798993.16854179, 610481.161444346 7798998.71741233, 610467.704226455 7799000.97695241, 610454.106829211 7798999.79719255, 610441.235066265 7798995.25811646, 610429.897030358 7798987.64966514, 610420.826601632 7798977.4517409, 610414.765906075 7798965.65414227, 610414.18045113 7798963.43459405, 610412.044777457 7798955.37623431, 610412.531282271 7798942.41887174, 610427.926273571 7798850.82751489, 610436.295805532 7798853.00707125, 610421.181172937 7798939.27951075, 610421.354335667 7798948.60761204, 610421.445039955 7798953.44662707, 610425.7163873 7798966.89388992, 610433.97047744 7798978.33156182, 610444.657091648 7798987.19975672, 610452.53187295 7798990.47908922, 610460.052082948 7798991.92879414, 610468.264943867 7798991.72883484, 610481.417065519 7798988.91940669, 610493.150901952 7798982.35074372, 610502.930473287 7798971.88287443, 610509.535394568 7798958.62557291, 610511.448430445 7798948.94754285, 610511.704051618 7798947.64780741, 610512.644077868 7798920.6133102, 610520.560088392 7798921.11320845)), ((610502.913981599 7798988.04958374, 610513.452170609 7798978.78147024, 610501.264812739 7798999.44726378, 610497.265578256 7799002.10672245, 610490.099939563 7799005.93594302, 610482.084978907 7799009.26526535, 610466.17874526 7799011.41482781, 610452.53187295 7799010.59499469, 610443.568640201 7799008.17548717, 610434.391015499 7799003.86636428, 610420.100967334 7798993.42848888, 610411.203701339 7798982.48071727, 610408.655735452 7798977.12180806, 610403.559803677 7798966.42398557, 610403.452607701 7798965.95408122, 610401.152017142 7798955.46621599, 610400.36041609 7798951.84695268, 610398.917393338 7798935.23033495, 610399.70899439 7798926.17217871, 610402.974348732 7798901.26724803, 610403.098036396 7798899.59758789, 610403.666999652 7798891.8091732, 610403.634016275 7798888.37987122, 610403.295936659 7798885.01055704, 610402.883644444 7798881.59125303, 610402.223976901 7798877.6620528, 610401.53132598 7798873.57288514, 610401.110787921 7798871.59328808, 610399.36266893 7798865.02462511, 610398.447380213 7798861.65531093, 610393.137056486 7798845.12867488, 610401.020083633 7798843.18906968, 610405.110022404 7798852.09725644, 610406.025311121 7798855.08664796, 610407.946592842 7798861.56532924, 610409.711203521 7798867.97402477, 610410.807900813 7798872.78304591, 610411.566518488 7798876.62226445, 610411.970564858 7798880.11155421, 610412.226186032 7798883.60084398, 610412.234431876 7798889.60962091, 610411.624239398 7798896.17828388, 610406.660241132 7798932.84082132, 610406.899370616 7798934.24053642, 610409.43909066 7798949.19749197, 610413.463062676 7798964.77432135, 610413.496046053 7798964.89429693, 610419.886575383 7798978.38155164, 610429.987734645 7798989.43930087, 610438.472708426 7798996.4178804, 610448.780013796 7799000.77699311, 610455.690031316 7799002.35667157, 610461.989856358 7799002.71659831, 610472.016803022 7799001.94675501, 610480.716168754 7799000.10712946, 610486.521243138 7798998.19751816, 610494.173386645 7798994.28831387, 610499.508447905 7798990.71904038, 610502.913981599 7798988.04958374)))"
LOGRADOURO_OBRA_DE_ARTE.415,415,VIADUTO,VIADUTO SENEGAL,"MULTIPOLYGON (((602721.112819229 7795708.32716173, 602744.390837676 7795723.41409083, 602735.155492065 7795738.18108505, 602727.651773755 7795750.27862263, 602719.026620622 7795763.62590583, 602715.200548869 7795769.76465631, 602708.010172642 7795781.25231803, 602700.300308226 7795774.31373036, 602698.890268851 7795773.05398677, 602697.537950387 7795772.07418621, 602685.795868109 7795763.67589566, 602688.253129709 7795759.7866873, 602689.852823503 7795757.10723269, 602692.153414061 7795754.80770075, 602693.142915377 7795753.11804468, 602699.220102623 7795743.5000024, 602703.722333609 7795735.96153683, 602707.960697577 7795729.04294509, 602712.751533113 7795721.72443476, 602717.286747475 7795714.30594477, 602721.112819229 7795708.32716173)))"
LOGRADOURO_OBRA_DE_ARTE.416,416,VIADUTO,VIADUTO SENEGAL,"MULTIPOLYGON (((610693.5166725 7798307.89802662, 610687.357026811 7798316.41629275, 610680.554205267 7798322.79499438, 610672.465032012 7798328.5238283, 610664.664463308 7798331.52321778, 610652.34517193 7798333.53280873, 610642.112079159 7798332.1730855, 610632.085132495 7798328.87375707, 610623.352783386 7798323.0749374, 610616.33556989 7798315.84640875, 610611.750880461 7798308.46791062, 610608.749393138 7798300.80946947, 610606.885832327 7798293.08104257, 610606.523015178 7798282.77314072, 610607.817612732 7798273.38505163, 610611.033492007 7798264.2969015, 610615.189397533 7798257.77822836, 610620.054445667 7798252.33933543, 610622.775574285 7798250.25975872, 610632.373737045 7798243.60111407, 610643.901427371 7798236.59254064, 610660.525049472 7798224.89492166, 610657.952346052 7798230.34381255, 610655.668247182 7798235.78270548, 610634.591869161 7798249.86983809, 610627.360263714 7798254.77883887, 610622.173627651 7798259.91779286, 610617.663150821 7798266.20651281, 610614.546221678 7798274.32486034, 610612.897052818 7798282.55318549, 610613.754620625 7798293.58094082, 610615.832573388 7798301.45933719, 610619.699874363 7798308.7578516, 610623.641387936 7798313.98678727, 610631.013172737 7798320.57544617, 610639.17655859 7798324.58463011, 610648.552083554 7798326.73419257, 610656.641256808 7798326.37426583, 610664.375858758 7798324.65461586, 610671.318859655 7798321.71521417, 610676.480758185 7798318.35589795, 610681.420018918 7798313.69684628, 610685.213107294 7798309.1877641, 610689.00619567 7798303.02901769, 610734.218159945 7798224.4550112, 610740.023234329 7798219.15608978, 610748.433995511 7798211.16771579, 610731.051755735 7798241.5115394, 610693.5166725 7798307.89802662)))"
LOGRADOURO_OBRA_DE_ARTE.417,417,VIADUTO,VIADUTO SANTA TEREZA,"MULTIPOLYGON (((611678.377666245 7797110.29275873, 611664.137017012 7797117.51133011, 611623.154945268 7797093.93600867, 611569.713334145 7797062.75219705, 611550.178821505 7797051.69439154, 611504.455363164 7797025.15965735, 611450.716900004 7796993.67590521, 611384.271520973 7796955.7634291, 611343.817186127 7796932.0881274, 611341.590793719 7796915.77136167, 611366.42741354 7796930.71839558, 611387.240039136 7796942.92597302, 611407.310534582 7796954.16374279, 611410.089399405 7796955.76342533, 611456.01900496 7796982.27816345, 611509.757468117 7797013.75191757, 611555.546893529 7797039.99670922, 611575.089652057 7797051.05451472, 611628.523017289 7797082.23832635, 611669.612285549 7797105.53370325, 611678.377666245 7797110.29275873)))"
LOGRADOURO_OBRA_DE_ARTE.418,418,VIADUTO,VIADUTO JOAO GUIMARAES ROSA,"MULTIPOLYGON (((610030.587077825 7810298.86916561, 609951.385310646 7810284.74197674, 609948.606444137 7810271.74455298, 610032.054844375 7810286.96152527, 610030.587077825 7810298.86916561)))"
LOGRADOURO_OBRA_DE_ARTE.419,419,VIADUTO,VIADUTO PAULO MENDES CAMPOS,"MULTIPOLYGON (((611950.282293337 7803204.18140233, 611939.694629261 7803206.05102178, 611931.902306402 7803207.74067785, 611920.135486591 7803211.05000425, 611908.368666781 7803214.94921057, 611898.407686871 7803218.73843929, 611889.246553859 7803223.00757032, 611877.850797042 7803228.70641034, 611866.347844249 7803234.91514657, 611857.038286039 7803240.65397844, 611850.202481117 7803245.24304435, 611843.218250999 7803250.34200647, 611831.674068984 7803259.31018103, 611818.175621872 7803271.25774913, 611813.252852827 7803275.90680283, 611804.248390856 7803285.12492651, 611795.202699663 7803295.73276731, 611787.187739007 7803306.00067731, 611783.510092451 7803311.09963943, 611777.919410019 7803307.82030693, 611781.522843976 7803302.53138348, 611789.645000608 7803291.28367292, 611798.954558818 7803280.34589927, 611808.255871184 7803270.68786513, 611813.145656851 7803265.72887452, 611827.666588656 7803252.56155469, 611838.493382217 7803244.27324175, 611846.087804814 7803238.83434882, 611853.146247531 7803233.99533379, 611862.373347298 7803228.22650802, 611874.024725288 7803221.97777993, 611885.643119901 7803216.27893991, 611895.496903835 7803212.00980888, 611906.232993108 7803208.00062494, 611917.966829541 7803204.21139623, 611929.915057926 7803200.6821146, 611937.781593385 7803198.88248091, 611949.070154226 7803196.67293066, 611958.148828796 7803195.31320742, 611966.279231272 7803194.58335599, 611977.040058078 7803193.56356356, 611991.684677548 7803193.18364089, 612011.09539502 7803193.84350658, 612037.787193006 7803196.64293676, 612045.142486118 7803197.81269866, 612044.260180779 7803203.85146949, 612037.27595066 7803203.04163433, 612010.658365273 7803200.6821146, 611991.758890146 7803200.39217362, 611977.452350293 7803201.01204744, 611966.534852445 7803202.04183783, 611958.742529585 7803202.93165671, 611950.282293337 7803204.18140233)))"
LOGRADOURO_OBRA_DE_ARTE.420,420,VIADUTO,VIADUTO SEIS,"MULTIPOLYGON (((610140.422076447 7808602.06542498, 610132.852349374 7808596.06661493, 610173.273684314 7808502.39517317, 610182.583293885 7808507.6641276, 610140.422076447 7808602.06542498)))"
LOGRADOURO_OBRA_DE_ARTE.421,421,VIADUTO,VIADUTO SETE,"MULTIPOLYGON (((610153.755663805 7808495.66650948, 610133.363586717 7808542.09731064, 610131.335098659 7808546.70639749, 610122.297603587 7808542.54722307, 610124.903303742 7808536.95833031, 610156.262409765 7808465.63246136, 610164.99480698 7808470.08157836, 610153.755663805 7808495.66650948)))"
LOGRADOURO_OBRA_DE_ARTE.422,422,VIADUTO,VIADUTO DEZESSEIS,"MULTIPOLYGON (((605329.298856164 7797775.15188794, 605318.23287308 7797774.82195487, 605318.587444581 7797762.31443378, 605318.521476165 7797752.85630836, 605317.993737912 7797743.03825434, 605316.971246197 7797732.32037873, 605315.35505041 7797721.14259435, 605326.569459563 7797721.96243031, 605328.342327454 7797734.68990753, 605329.298852641 7797749.63694494, 605329.570968232 7797758.71514562, 605329.298856164 7797775.15188794)))"
LOGRADOURO_OBRA_DE_ARTE.423,423,VIADUTO,VIADUTO DEZOITO,"MULTIPOLYGON (((605334.081471863 7797775.72177434, 605334.782371089 7797766.03369439, 605334.94728832 7797762.04448502, 605335.037991997 7797754.0660663, 605335.087466649 7797749.1270452, 605334.798859513 7797741.7285116, 605334.023744882 7797734.03003753, 605333.182663198 7797726.7314842, 605344.80936658 7797725.96163517, 605346.310120395 7797740.56873988, 605346.648202777 7797747.32740028, 605346.672941656 7797756.09566244, 605346.483287255 7797763.67416043, 605345.724667322 7797777.11149729, 605334.081471863 7797775.72177434)))"
